collections,site_id,site_name,placekey,places
"Crustacea, General Invertebrate",CMNI 1985-0290,Calanus 1956 821 B-36,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:1)"
"Crustacea, Mollusc",CMNML 036052,Ellis 1955 B35,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Qikiqtaaluk Region, Baffin I., Pond Inlet [placekey:152] (total:1)"
Crustacea,CMNC 1989-0541,Rafi 1983 83R02,,"North America: Canada, British Columbia, New Westminster Land Distr. [placekey:279] (total:1) | North America: Canada, British Columbia, Vancouver I. [placekey:171] (total:1)"
Crustacea,CMNC 1989-0718,Conlan 1989 89-2-16,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Valdez-Cordova Census Area [placekey:745] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0365,Calanus 1962 62-1106 6,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Prince of Wales Strait [placekey:18090] (total:1)"
Crustacea,ELB 1953 G20,ELB 1953 G20,,"North America: Canada, Québec, Mun. Rég. de Cté de la Haute-Gaspésie [placekey:13524] (total:1) | North America: Canada, Québec, Mun. Rég. de Cté de Matane [placekey:11103] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0506,DFO (ABS) 1959 59-51 B-37,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0283,DFO 1959 59-69 B-51,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0393,Calanus 1959 59-45 B-33,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:1)"
Mollusc,unknown collector 00-00-00 Aroostook Riv.,unknown collector 00-00-00 Aroostook Riv.,,"North America: United States, Maine, Aroostook Co. [placekey:2184] (total:1) | North America: Canada, Québec [placekey:8] (total:1)"
Mollusc,DO 1955-08-06 S-25 D-2,DO 1955-08-06 S-25 D-2,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Québec, Territoire de Kativik [placekey:10879] (total:1)"
Vascular Plant,SK 2006 May 22-5,SK 2006 May 22-5,,"North America: Canada, Saskatchewan [placekey:5] (total:1) | North America: Canada, Saskatchewan, Piapot [placekey:15003] (total:1)"
General Invertebrate,ABV 1921-08-25 Tod Inlet,ABV 1921-08-25 Tod Inlet,,"North America: Canada, British Columbia, Cowichan Land Distr., Saanich Inlet [placekey:29188] (total:1) | North America: Canada, British Columbia, Nanaimo Land Distr., Departure Bay [placekey:174] (total:1)"
Mollusc,DAG 1982-06-27 Wolf Lake,DAG 1982-06-27 Wolf Lake,,"North America: Canada, Ontario, Leeds and Grenville United Co., Westport [placekey:1321] (total:1) | North America: Canada, Ontario, Leeds and Grenville United Co., Crosby [placekey:12361] (total:1)"
Mollusc,HBH 1960-06-11 P-1865,HBH 1960-06-11 P-1865,,"North America: Canada, Ontario, Hastings Co. (ON), Shannonville [placekey:23415] (total:1) | North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0894,19690826 69-1013,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Victoria I. (NU), Starvation Cove [placekey:16487] (total:1)"
Mollusc,HBH&NR 1961-09-04 P-1920,HBH&NR 1961-09-04 P-1920,,"North America: Canada, New Brunswick, Queens Co. (NB), Jemseg [placekey:9306] (total:1) | North America: Canada, New Brunswick, Queens Co. (NB) [placekey:9039] (total:1)"
Mollusc,BTK 1970-06-06 Grand River,BTK 1970-06-06 Grand River,,"North America: Canada, Ontario, Grand Riv. [placekey:26236] (total:1) | North America: Canada, Ontario, Waterloo Reg. Mun. [placekey:886] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-0943,Calanus Expedition 1962 62-033,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Liverpool Bay [placekey:15925] (total:1)"
Crustacea,CMNC 2003-0038,Teal-19570904,,"North America: United States, Georgia, McIntosh Co. (GA), Sapelo Island [placekey:14055] (total:1) | North America: United States, Georgia, Glynn Co., St. Simons Island [placekey:9334] (total:1)"
Crustacea,CMNC 1992-0637,Slattery 1982 C?,,"North America: United States, Alaska, Aleutian Is. [placekey:768] (total:1) | North America: United States, Alaska, Aleutians West Census Area, Unimak I. [placekey:771] (total:1)"
Vascular Plant,CAN 268212,CAN 268212-Brintnell(NT),,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Axel Heiberg I. [placekey:551] (total:1)"
Mollusc,AWG 1978-06-03 85413,AWG 19780703 3.6,,"North America: Canada, Ontario [placekey:7] (total:1) | North America: Canada, Ontario, Parry Sound Distr. (ON) [placekey:8038] (total:1)"
Mollusc,CMNML 048162,Athearn-1963-08-06 HDA 562,,"North America: Canada, Ontario, York Region (ON) [placekey:887] (total:1) | North America: Canada, Ontario, Lake Simcoe [placekey:20336] (total:1)"
Mollusc,CMNML 071026,Oughton 1966-07-11 G1,,"North America: Canada, Ontario, Wellington Co. (ON), Guelph [placekey:14040] (total:1) | North America: Canada, Ontario, Wellington Co. (ON), Eramosa Riv. [placekey:26187] (total:1)"
Mollusc,CMNML 002757,CMNML 002757,,"North America: United States, Iowa, Muscatine Co. [placekey:1864] (total:1) | North America: United States, Iowa, Muscatine Co., Muscatine [placekey:24805] (total:1)"
"Crustacea, Mollusc",CMNML 065053,Dadswell 1970 08,,"North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi [placekey:11583] (total:1) | North America: Canada, Québec, Territoire de Jamésie [placekey:27623] (total:1)"
Mollusc,JGO 1946-08-12 Great Slave Lake,JGO 1946-08-12 Great Slave Lake,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Great Slave Lake [placekey:617] (total:1)"
Mollusc,Macoun 1885 Kananasquis,Macoun 1885 Kananasquis,,"North America: Canada, Alberta, Kananaskis [placekey:24740] (total:1) | North America: Canada, British Columbia [placekey:3] (total:1)"
"Crustacea, Mollusc",CMNML 068205,Dadswell-1971 SEP 07,,"North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi [placekey:11583] (total:1) | North America: Canada, Québec, Mun. Rég. de Cté Vallée-de-l'Or [placekey:27906] (total:1)"
Mollusc,CMNML 051539,Farley-1968 AUG 10,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | North America: Canada, Newfoundland and Labrador, Newfoundland [placekey:26677] (total:1)"
Mollusc,CMNML 031637,Clarke-1961-07-25 C237,,"North America: Canada, Ontario, Cochrane Distr. (ON) [placekey:854] (total:1) | North America: Canada, Ontario [placekey:7] (total:1)"
"Crustacea, Mollusc",CMNML 073979,McAllister-19770729,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Baillie Is. [placekey:18738] (total:1)"
Mollusc,CMNML 045627,HGR 1933-08-21CMNML 045627,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Charlton I. [placekey:15008] (total:1)"
Mollusc,Clarke 1962-07-14 339,Clarke 1962-07-14 339,,"North America: Canada, Manitoba [placekey:6] (total:1) | North America: Canada, Manitoba, Clear Lake (5040N, 10000W) [placekey:11678] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0211,Calanus 1962 62-2081 B-3,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Victoria I. (NU), Cambridge Bay [placekey:12359] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0384,Calanus 1962 62-3003 B-49,,"North America: Canada, Nunavut, Ellesmere I. [placekey:110] (total:1) | North America: Canada, Nunavut, Ellesmere I., Slidre Fiord [placekey:10500] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-1022,Taylor-19060628,,"North America: Canada, British Columbia [placekey:3] (total:1) | North America: Canada, British Columbia, New Westminster Land Distr., Burrard Inlet [placekey:13734] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-1082,Dawson 1878 HoustonStewart,,"North America: Canada, British Columbia, Queen Charlotte Islands Land Distr. [placekey:24243] (total:1) | North America: Canada, British Columbia, Queen Charlotte Islands Land Distr., Houston Stewart Channel [placekey:28132] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0405,DFO 1965 65-1050 184,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Victoria I. (NU), Wellington Bay [placekey:16486] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2559,DFO 1959 59-38,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Québec, Territoire de Kativik, Lac Guillaume-Delisle [placekey:26847] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0413,Calanus 1953 549 B-16,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0436,DFO(ABS) 1965 65-1506 B-3,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | North America: Canada, Newfoundland and Labrador, Red Bay (NF) [placekey:27454] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2561,Johansen-192008,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Québec, Territoire de Kativik, Lac Guillaume-Delisle [placekey:26847] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0138,DFO (ABS) 1959 59-38 B-27,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Québec, Territoire de Kativik, Lac Guillaume-Delisle [placekey:26847] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-3047,Calanus Expedition-19620702 - 19620816,,"North America: Canada, Nunavut, Ellesmere I. [placekey:110] (total:1) | North America: Canada, Nunavut, Ellesmere I., Slidre Fiord [placekey:10500] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0254,Calanus 1957 901 B-58,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:1)"
"Crustacea, General Invertebrate",CMNI 1981-0595,DFO(ABS) 1962-002,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Liverpool Bay [placekey:15925] (total:1)"
Mollusc,FWS 1992-04-30 92/025/ze,FWS 1992-04-30 92/025/ze,,"North America: Canada, Ontario, Bruce Co. (ON), Northern Bruce Peninsula Twp. [placekey:25890] (total:1) | North America: Canada, Ontario, Bruce Co. (ON), Wingfield Basin [placekey:18766] (total:1)"
Vascular Plant,BC 2007 Jul 20-4,BC 2007 Jul 20-4,,"North America: Canada, British Columbia, Cedarvale [placekey:36824] (total:1) | North America: Canada, British Columbia, Cassiar Land Distr., Hazelton [placekey:18643] (total:1)"
Mollusc,AHC&BTK 1972-08-19 Sta.1169,AHC&BTK 1972-08-19 Sta.1169,,"North America: Canada, British Columbia, Peace River Land Distr., Muncho Lake [placekey:14719] (total:1) | North America: Canada, British Columbia, Peace River Land Distr. [placekey:827] (total:1)"
Mollusc,EMK 1932 Arnprior,EMK 1932 Arnprior,,"North America: Canada, Ottawa Riv. [placekey:12156] (total:1) | North America: Canada, Ontario, Renfrew Co. (ON), Arnprior [placekey:24766] (total:1)"
Mollusc,AL 1933-04-14 Creek,AL 1933-04-14 Creek,,"North America: Canada, Ontario, Rideau Riv. [placekey:15619] (total:1) | North America: Canada, Ontario, Ottawa (metro), Ottawa [placekey:225] (total:1)"
Mollusc,IRB 1968-11-01 Lakeside Village,IRB 1968-11-01 Lakeside Village,,"North America: Canada, Ontario, Oxford Co. (ON), Lakeside (ON) [placekey:36658] (total:1) | North America: Canada, Ontario, Waterloo Reg. Mun. [placekey:886] (total:1)"
Vascular Plant,CAN 78971,CAN 78971-Canol Road(YK),,"North America: Canada, Yukon Territory, Teslin Riv.  (YK) [placekey:14238] (total:1) | North America: Canada, Yukon Territory, Rose Riv. [placekey:11699] (total:1)"
Crustacea,CMNC 1991-0218,Johansen-19200823,,"North America: Canada, Hudson Bay [placekey:13168] (total:1) | North America: Canada, Québec, Territoire de Kativik, Lac Guillaume-Delisle [placekey:26847] (total:1)"
Mollusc,AHC&LRC 1961-08-10 C272,AHC&LRC 1961-08-10 C272,,"North America: Canada, Manitoba, Whitemouth River [placekey:25952] (total:1) | North America: Canada, Manitoba, Whitemouth [placekey:15411] (total:1)"
Mollusc,Clarke 1976-07-22 C1455,Clarke 1976-07-22 C1455,,"North America: Canada, Ontario, St. Lawrence Riv. [placekey:12056] (total:1) | North America: Canada, Québec, Fleuve Saint-Laurent [placekey:26342] (total:1)"
Crustacea,Rafi 1984 BC8407,Rafi 1984 BC8407,,"North America: Canada, British Columbia, New Westminster Land Distr., Semiahmoo Bay [placekey:26786] (total:1) | North America: Canada, British Columbia, Sayward Land Distr. [placekey:283] (total:1)"
Mollusc,CMNML 020337,AHC 1957-07-10 020337,,"North America: United States, New York, St. Lawrence Co. (NY), Waddington [placekey:24852] (total:1) | North America: Canada, Ontario, Stormont, Dundas and Glengarry United Co., Sheek I. [placekey:24511] (total:1)"
"Crustacea, Mollusc",CMNML 065040,Dadswell 1970 13,,"North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi [placekey:11583] (total:1) | North America: Canada, Québec, Territoire de Jamésie [placekey:27623] (total:1)"
Mollusc,CMNML 070942,JGO 1967-07-09 G-85,,"North America: Canada, Ontario, Waterloo Reg. Mun., Woolwich Twp. [placekey:25235] (total:1) | North America: Canada, Ontario, Grand Riv. [placekey:26236] (total:1)"
Crustacea,CMNC 1992-0194,OSU 1973 BMT 317,,"Pacific Ocean: Cascadia Abyssal Plain [placekey:29034] (total:1) | North America: United States, Oregon [placekey:53] (total:1)"
"Crustacea, Mollusc",CMNML 065089,Dadswell 1970 108,,"North America: Canada, Ontario, Nipissing Distr. (ON) [placekey:491] (total:1) | North America: Canada, Ontario, Sudbury Distr. (ON) [placekey:487] (total:1)"
Mollusc,CMNML 002777,unknown-unknown,,unknown [placekey:8812] (total:1) | Europe [placekey:16545] (total:1)
Mollusc,CMNML 032077,Clarke-1963-07-04 C453,,"North America: Canada, Québec, Mun. Rég. de Cté de Memphrémagog, Eastman [placekey:15719] (total:1) | North America: Canada, Québec, Territoire de Jamésie, Eastmain [placekey:14754] (total:1)"
Mollusc,CMNML 022713,FHM 1932-11-06 CMNML 022713,,"North America: Canada, Ontario, St. Lawrence Riv. [placekey:12056] (total:1) | North America: Canada, Ontario, Stormont, Dundas and Glengarry United Co., Dundas Co. [placekey:1228] (total:1)"
"Crustacea, Mollusc",CMNML 028040,Clarke-1965 JUN 25,,"North America: Canada, Saskatchewan [placekey:5] (total:1) | North America: Canada, Ontario, Kenora Distr. (ON) [placekey:451] (total:1)"
Mollusc,FRB 1959 Vaillant Lake 1025-59,FRB 1959 Vaillant Lake 1025-59,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Kitikmeot Region [placekey:25219] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0492,DFO (ABS) 1958 58-21 B-14,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Digges I. [placekey:13368] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-1009,Spreadborough-19100218,,"North America: Canada, British Columbia [placekey:3] (total:1) | Pacific Ocean: Strait of Georgia [placekey:25507] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0226,Calanus 1957 901 B-56,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2489,Calanus 1961 61-30,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Roes Welcome Sound [placekey:28222] (total:1)"
Crustacea,CMNC 1989-0747,Conlan 1989 89-2-54,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Sitka Borough, Baranof I. [placekey:9372] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0650,Calanus 1950 231,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:1)"
Mollusc,FWS&MGK 2003-08-13 2003/164,FWS&MGK 2003-08-13 2003/164,,"North America: Canada, Ontario, Leeds and Grenville United Co., Edwardsburgh/Cardinal Twp. [placekey:12139] (total:1) | North America: Canada, Ontario, Leeds and Grenville United Co., Roebuck [placekey:33922] (total:1)"
Mollusc,FRB 1962 Keller 6-23-62 #4,FRB 1962 Keller 6-23-62 #4,,"North America: Canada, Nunavut, Kitikmeot Region [placekey:25219] (total:1) | North America: Canada, Nunavut, Baker Lake [placekey:12350] (total:1)"
Mollusc,FRB 1959-00-00 Beaver Lodge Lake,FRB 1959-00-00 Beaver Lodge Lake,,"North America: Canada, Nunavut, Kitikmeot Region [placekey:25219] (total:1) | North America: Canada, Northwest Territories, Mackenzie -Yellowknife Highway [placekey:28494] (total:1)"
Mollusc,AHC&ARC&LRC 1961-07-18 222,AHC&ARC&LRC 1961-07-18 222,,"North America: Canada, Ontario, Thunder Bay Distr. (ON), Longlac [placekey:24626] (total:1) | North America: Canada, Ontario, Thunder Bay Distr. (ON), Klotz Lake [placekey:28782] (total:1)"
Mollusc,AL 1932-10-22 Long Swamp,AL 1932-10-22 Long Swamp,,"North America: Canada, Ontario, Ottawa (metro), Ottawa [placekey:225] (total:1) | North America: Canada, Ontario, Lanark Co. (ON), Long Swamp [placekey:18653] (total:1)"
Mollusc,AHC&ARC 1962-07-28 C380,AHC&ARC 1962-07-28 C380,,"North America: Canada, Saskatchewan, La Ronge [placekey:22090] (total:1) | North America: Canada, Saskatchewan, Lac la Ronge [placekey:27607] (total:1)"
Mollusc,JF&FR 1982-08-12 2,JF&FR 1982-08-12 2,,"North America: Canada, Québec, Harrington Lake [placekey:36586] (total:1) | North America: Canada, Québec, Mun. Rég. de Cté d'Argenteuil, Lac Harrington [placekey:11204] (total:1)"
Crustacea,CMNC 2010-0560,LDD 560,,"North America: Canada, Alberta, Cochrane [placekey:453] (total:1) | North America: Canada, Alberta, Madden [placekey:34284] (total:1)"
Crustacea,CMNC 2004-4276,DFO(ABS) 1966 66-0004 (66-1056 - 66-1065),,"North America: Canada, Nunavut, Dease Strait [placekey:126] (total:1) | North America: Canada, Nunavut, Victoria I. (NU), Starvation Cove [placekey:16487] (total:1)"
Crustacea,CMNC 2004-3170,DFO(ABS) 1962 62-4016 B-37,,"North America: Canada, Nunavut, Cornwallis I., Assistance Bay [placekey:27747] (total:1) | North America: Canada, Nunavut, Cornwallis I. [placekey:8676] (total:1)"
Mollusc,GWB 1965-10-15 CMNML 056804,GWB 1965-10-15 CMNML 056804,,"North America: United States, Colorado, Boulder Co. [placekey:1248] (total:1) | North America: United States, Colorado, Park Co. (CO) [placekey:1289] (total:1)"
Crustacea,CMNC 1991-2259,Schueler-19750828,,"North America: Canada, Ontario, York Region (ON), Georgina [placekey:25650] (total:1) | North America: Canada, Ontario, Wellington Co. (ON), Guelph/Eramosa Twp. [placekey:12284] (total:1)"
"Crustacea, Insect",H&AH 1991.II.23-CR,H&AH 1991.II.23-CR,,"Central America: Costa Rica, Guanacaste Prov., Monteverde [placekey:22466] (total:1) | Central America: Costa Rica, Puntarenas Prov. [placekey:4256] (total:1)"
Mollusc,LRC 1958-09-05 014321,LRC 1958-09-05 014321,,"North America: United States, Michigan, Livingston Co. (MI) [placekey:2283] (total:1) | North America: United States, Michigan, Allegan Co. [placekey:2239] (total:1)"
Crustacea,CMNC 1992-0193,OSU 1970 BMT 160,,"Pacific Ocean: Cascadia Abyssal Plain [placekey:29034] (total:1) | North America: United States, Oregon [placekey:53] (total:1)"
Mollusc,CMNML 031099,McAllister-1962-08-23,,"North America: Canada, Ontario, Lanark Co. (ON), Pakenham [placekey:10882] (total:1) | North America: Canada, Ontario, Mississippi Riv. (ON) [placekey:16135] (total:1)"
"Crustacea, Mollusc",CMNML 044084,GORHAM-1961 APR 29,,"North America: Canada, Nova Scotia [placekey:10] (total:1) | Atlantic Ocean: Scotian Shelf [placekey:9950] (total:1)"
"Crustacea, Mollusc",CMNML 044858,Gorham 1961 G127,,"North America: Canada, Nova Scotia [placekey:10] (total:1) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:1)"
Mollusc,Rick 1962-07-02 AR 96,Rick 1962-07-02 AR 96,,"North America: Canada, New Brunswick, Kings Co. (NB), Hampton [placekey:25593] (total:1) | North America: Canada, New Brunswick, Kings Co. (NB), Lakeside [placekey:23477] (total:1)"
"Crustacea, Mollusc",CMNML 046517,HANNAM-1963 JUN 14,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:1)"
Mollusc,CMNML 071119,La Rocque-1933-09-14 Duck Island,,"North America: Canada, Ontario, Leeds and Grenville United Co., Duck I. [placekey:24593] (total:1) | North America: Canada, Ottawa Riv. [placekey:12156] (total:1)"
Parasite,CMNPA 1984-7189,Renewable Resources 1977 HPA-497,,"North America: Canada, British Columbia, Cariboo Land Distr., Arctic Lake [placekey:36910] (total:2) | North America: Canada, British Columbia, Cariboo Land Distr., Parsnip Riv. [placekey:12871] (total:2)"
"Crustacea, Mollusc",CMNML 000280,Dawson 1878 Victoria,,"North America: Canada, British Columbia, Vancouver I. [placekey:171] (total:1) | North America: Canada, British Columbia, New Westminster Land Distr., Vancouver [placekey:851] (total:1)"
"Crustacea, Mollusc",CMNML 038803,GORHAM-1963 MAY 29,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | Atlantic Ocean: Labrador Sea [placekey:17649] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2341,Calanus Expedition-19530828,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Strait [placekey:169] (total:1)"
Vascular Plant,CAN 526777X,CAN 526777-Ferguson L.(NU),,"North America: Canada, Nunavut, Victoria I. (NU) [placekey:114] (total:1) | Atlantic Ocean: Greenland [placekey:4524] (total:1)"
"Crustacea, Mollusc",CMNML 035763,Ellis 1953 A12c,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Qikiqtaaluk Region, Baffin I., Frobisher Bay [placekey:192] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0408,DFO(ABS) 1961 61-21 B-18,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Roes Welcome Sound [placekey:28222] (total:1)"
"Crustacea, General Invertebrate",CMNI 1988-0292,DFO (ABS) 1965 TH-221,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0626,Calanus 1949 103 B-7,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:1)"
"Crustacea, General Invertebrate",CMNI 1988-0572,Calanus 1947 17,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-0191,Ellis-19650128,,"North America: Canada, British Columbia, Renfrew Land Distr., Swiftsure Bank [placekey:9023] (total:1) | Pacific Ocean: Juan de Fuca Strait [placekey:25533] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0647,Calanus 1947 30 B-12,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-0303,Quayle-19680808 19680810,,"North America: Canada, British Columbia [placekey:3] (total:1) | Pacific Ocean: Northwest Pacific Ocean [placekey:25146] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2526,Gorham-19630526,,"North America: Canada, Newfoundland and Labrador, South Labrador [placekey:9272] (total:1) | Atlantic Ocean: Labrador Sea [placekey:17649] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0929,DFO(ABS) 1967 67-1130 128,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Victoria I. (NU), Starvation Cove [placekey:16487] (total:1)"
"Crustacea, General Invertebrate",CMNI 1987-0284,Gorham-19630624,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | Atlantic Ocean: Labrador Sea [placekey:17649] (total:1)"
Mollusc,FWS 1995-09-08 95/112/b,FWS 1995-09-08 95/112/b,,"North America: Canada, Ontario, Cochrane Distr. (ON), McQuibban Twp. [placekey:37332] (total:1) | North America: Canada, Ontario, Cochrane Distr. (ON), Abitibi Riv. [placekey:18116] (total:1)"
Crustacea,CMNC 1990-0356,Grainger 1975 75-566,,"North America: Canada, Yukon Territory [placekey:13] (total:1) | Arctic Ocean: Beaufort Sea [placekey:167] (total:1)"
Mollusc,McInnes 1904-06-20 English River,McInnes 1904-06-20 English River,,"North America: Canada, Ontario, Kenora Distr. (ON), English River [placekey:12418] (total:1) | North America: Canada, Ontario, Kenora Distr. (ON), English River (town) [placekey:24520] (total:1)"
Mollusc,HBH 1949-08-13 S-485,HBH 1949-08-13 S-485,,"North America: Canada, Ontario, Hastings Co. (ON), Moira Riv. [placekey:23623] (total:1) | North America: Canada, Ontario, Hastings Co. (ON), Tweed Twp. [placekey:11921] (total:1)"
Mollusc,unknown collector 00-00-00 Chilcott Lake,unknown collector 00-00-00 Chilcott Lake,,"North America: Canada, Ontario, Kenora Distr. (ON), Kenora [placekey:10008] (total:1) | North America: Canada, Québec [placekey:8] (total:1)"
Mollusc,Oughton 1942-07-13 Dorion,Oughton 1942-07-13 Dorion,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Ontario, Thunder Bay Distr. (ON), Dorion [placekey:33050] (total:1)"
Lichen,CANL 7023,CANL 7023-ON,,"North America: Canada, Ontario, Ottawa (metro), Ottawa [placekey:225] (total:1) | North America: Canada, Ontario, Thunder Bay Distr. (ON), Lake Nipigon [placekey:16322] (total:1)"
Crustacea,CMNC 2004-2229,RMSC 1966 NSM252,,Pacific Ocean: East China Sea [placekey:29058] (total:1) | Eurasia: Japan [placekey:6939] (total:1)
"Crustacea, Mollusc",CMNML 065079,Dadswell 1970 60,,"North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi [placekey:11583] (total:1) | North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi-Ouest [placekey:506] (total:1)"
Mollusc,CMNML 070940,Oughton-1967-07-09 G85,,"North America: Canada, Ontario, Waterloo Reg. Mun., Woolwich Twp. [placekey:25235] (total:1) | North America: Canada, Ontario, Grand Riv. [placekey:26236] (total:1)"
Mollusc,AHC&LRC 1961-08-10 272,AHC&LRC 1961-08-10 272,,"North America: Canada, Manitoba, Whitemouth River [placekey:25952] (total:1) | North America: Canada, Manitoba, Whitemouth [placekey:15411] (total:1)"
Mollusc,Macoun 1894 Crane Lake,Macoun 1894 Crane Lake,,"North America: Canada, Saskatchewan, Assiniboia [placekey:24681] (total:1) | North America: Canada, Alberta [placekey:4] (total:1)"
"Crustacea, Parasite",CMNPA 1993-0179,Gascon-19900824,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | North America: Canada, Esquiman Channel [placekey:26886] (total:1)"
